URL,Title,PublishDate,Authors,Section,Tags,Views,Visitors,TwitterShares,FacebookShares,LinkedInShares,PinterestShares,TotalShares,DirectReferrers,SelfReferrers,InternalReferrers,SocialReferrers,SearchReferrers,OtherReferrers,Lifecycle
http://uproxx.com/smokingsection/2015/01/president-obama-shade-state-of-the-union-video/,President Obama Torched Republicans With This Improvised Line During His State Of The Union Address,"Jan 21, 2015",GOTTY™,SMOKINGSECTION,,70353,63147,57,11803,,1,11861,11163,360,7147,49668,1516,499,
http://uproxx.com/smokingsection/2015/01/a-ranking-of-raps-top-one-hit-wonders-of-the-past-decade/,Ranking Rap’s Best One-Hit Wonders Of The Past Decade,"Jan 13, 2015",TSS Crew,SMOKINGSECTION,,69900,36349,76,978,1,1,1056,14732,28191,5305,11349,100,10223,
http://uproxx.com/smokingsection/2015/01/kevin-gates-says-he-sleeps-with-his-cousin-video/,Kevin Gates Wants You To Know He’s Having Sex With His Cousin #IDGT,"Jan 09, 2015",GOTTY™,SMOKINGSECTION,,61289,55338,56,5611,,,5667,9252,185,6012,44876,867,97,
http://uproxx.com/smokingsection/2015/01/chris-brown-club-shooting-san-jose-ca-2015/,Five People Were Reportedly Shot During A Nightclub Party Hosted By Chris Brown,"Jan 11, 2015",GOTTY™,SMOKINGSECTION,,41400,37605,68,2741,,,2809,6908,159,3395,28687,1295,956,
http://uproxx.com/smokingsection/2015/01/kobe-bryant-yell-jeremy-lin-video/,Now We See Why Kobe Curses Out His Teammates In Practice,"Jan 03, 2015",J. Tinsley,SMOKINGSECTION,,39124,33683,51,2165,,,2216,6761,183,10006,21456,380,338,
http://uproxx.com/smokingsection/2015/01/nicki-minaj-terry-richardson-photos/,Terry Richardson Shares Several Nicki Minaj Outtakes From Their ‘Rolling Stone’ Shoot,"Jan 08, 2015",GOTTY™,SMOKINGSECTION,,24278,22282,21,356,,5,382,3290,151,5131,12852,866,1988,
http://uproxx.com/smokingsection/2015/01/lil-wayne-cash-money-8-million-lawsuit/,Lil Wayne Reportedly Suing Birdman And Cash Money For $8 Million,"Jan 24, 2015",GOTTY™,SMOKINGSECTION,,17404,15668,396,1810,,,2206,3191,97,4097,4976,1746,3297,
http://uproxx.com/smokingsection/2014/12/kanye-west-tk-download-new-music/,Kanye West Season Returns With The Release Of ‘Only One’ Ft. Paul McCartney,"Jan 01, 2015",J. Tinsley,SMOKINGSECTION,,16996,13093,115,2360,,,2475,2460,135,6017,4180,3851,353,
http://uproxx.com/smokingsection/2014/10/the-story-behind-donna-godeau/,Mama I Luhhhh Ya: The Real Story Behind Donna Goudeau,"Oct 06, 2014",J. Tinsley,SMOKINGSECTION,,16126,14266,5,110,,,115,2269,70,144,629,12916,98,
http://uproxx.com/smokingsection/2015/01/beastie-boys-ft-nas-too-many-rappers-unreleased-video/,Watch Beastie Boys And Nas In The Previously Unreleased Video For ‘Too Many Rappers’,"Jan 12, 2015",GOTTY™,SMOKINGSECTION,,16041,14425,57,5274,,1,5332,2283,89,2850,10314,481,24,
http://uproxx.com/smokingsection/2015/01/joey-badass-malia-obama-apology-twitter/,Joey BadA$$ Says Sorry For Sharing Malia Obama’s Selfie,"Jan 09, 2015",Ryan Joseph,SMOKINGSECTION,,12883,11415,53,5,,,58,1112,38,9126,766,865,976,
http://uproxx.com/smokingsection/2014/10/shaaarlettem-instagram-twerker/,Meet The ‘Dancer’ Who’s Been Invading Your Timeline With Her Struggle Twerks,"Oct 12, 2014",Word,SMOKINGSECTION,,12774,7843,6,111,,,117,1917,1715,8,781,8317,36,
http://uproxx.com/smokingsection/2014/12/faith-evans-tupac-what-really-happened/,Faith Evans Finally Comes Clean About What Really Happened Between Her And Tupac,"Dec 30, 2014",J. Tinsley,SMOKINGSECTION,,11500,9638,19,417,,,436,2160,52,2221,6441,613,13,
http://uproxx.com/smokingsection/2015/01/michelle-jenneke-made-a-workout-video-with-worldstar/,Michelle Jenneke Made A Workout Video With Worldstar,"Jan 02, 2015",GOTTY™,SMOKINGSECTION,,10949,9518,47,88,,,135,1205,56,6327,1187,760,1414,
http://www.uproxx.com/smokingsection/2013/03/sexy-eudoxie-pics/,10 Instances Of Ludacris’ Girlfriend Eudoxie Looking Gloriously Thick,"Mar 05, 2013",TSS Crew,SMOKINGSECTION,,10737,8900,3,,,,3,1584,103,658,45,8146,201,
http://www.uproxx.com/smokingsection/2012/07/10-best-nicki-minaj-songs/,10 Songs That Prove Nicki Minaj Can Rap,"Jul 16, 2012",Ryan J.,SMOKINGSECTION,,9718,1940,,,,,,329,7718,10,,1656,5,
http://uproxx.com/smokingsection/2015/01/george-zimmerman-arrested-domestic-violence-2015/,"While You Were Sleeping, George Zimmerman Got Arrested Again In Florida","Jan 10, 2015",GOTTY™,SMOKINGSECTION,,9699,8918,54,1521,,,1575,1300,15,4166,4142,11,65,
http://uproxx.com/smokingsection/2015/01/the-wit-and-wisdom-of-asap-yams/,The Wit And Wisdom Of A$AP Yams In His Own Words,"Jan 19, 2015",GOTTY™,SMOKINGSECTION,,9312,4486,112,39,,,151,871,3739,2572,1575,471,84,
